Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, NumeroSociedades_arima, Carbón y derivados_arima, Gas_arima, Capital_arima;3;-0,996270739836724;0,998738780041772;8,46208321693139;0,321630168016950;0,255342614892421
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, ActivoHombres_arima, Carbón y derivados_arima, Gas_arima, EurosDesembolsado_arima;3;-0,998261673269791;0,998568890264539;8,52063658056331;0,216932680727338;0,255852753557240
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,998580762888407;7,02947738058395;0,310320454461945;0,255922126150330
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivosMujeres_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima;3;-0,999000000000000;0,998992871742277;6,43699905305015;0,182838609453827;0,256159043605249
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Gas_arima, Capital_arima, EurosDesembolsado_arima;3;-0,997776648652386;0,998466724762341;8,76102087365684;0,183197260698608;0,256716192158487
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivosMujeres_arima, Electricidad_arima, Carbón y derivados_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;6,74558313267428;0,200021090927746;0,257617510258276
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Capital_arima;3;-0,999000000000000;0,998428048684731;8,68250573670846;0,203811183361290;0,258896697299135
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Electricidad_arima, Capital_arima;3;-0,999000000000000;0,998402077883502;8,76057604100003;0,204690014259098;0,258995588881482
Total_arima, ConsumoEuros_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima;3;-0,999000000000000;0,998787965459470;8,10714011908633;0,255056557974291;0,259711316916742
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998353277606995;8,74561167038496;0,184024533033607;0,260003757065218
Total_arima, ConsumoEuros_arima, PobTotal_arima, Electricidad_arima, Gas_arima;3;-0,998999594979417;0,998832889967953;8,22727460351316;0,234962428804956;0,260051544940572
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;7,11428447834569;0,273220391452449;0,260439409471193
Total_arima, ConsumoEuros_arima, NumeroSociedades_arima, Carbón y derivados_arima, Gas_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998706319005041;9,07219180029498;0,312705385641794;0,260475112325787
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, Electricidad_arima, Gas_arima;3;-0,999000000000000;0,998958411043641;7,45284103313930;0,205229193725793;0,260523231871120
Total_arima, ConsumoEuros_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,998452703014056;9,85639894492404;0,270805705095999;0,260977848546465
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima;3;-0,999000000000000;0,999000000000000;6,19995934199527;0,264251017620348;0,261103261777874
Total_arima, ConsumoEuros_arima, Electricidad_arima, Capital_arima, EurosDesembolsado_arima;3;-0,997262882788108;0,998399884703137;9,97156430814317;0,263537742306514;0,261434908654877
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998461523940527;8,74850225122715;0,183241430278486;0,262264005959159
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, NumeroSociedades_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;6,12150988532033;0,269738714151670;0,262996221989651
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Electricidad_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998416712039036;8,77675188869414;0,186490283996365;0,263940489586952
Total_arima, ConsumoEuros_arima, Capital_arima, EurosDesembolsado_arima;3;-0,975766522268877;0,998410073440717;9,65723353780360;0,264172309876681;0,264065545519396
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Electricidad_arima, Carbón y derivados_arima, Capital_arima;3;-0,999000000000000;0,998454381602497;8,52065994493981;0,218604826237149;0,265104739365377
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima;3;-0,999000000000000;0,999000000000000;6,39049208020524;0,270086814517600;0,266908912642242
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Electricidad_arima, Capital_arima, EurosDesembolsado_arima;3;-0,998997564491570;0,998351585203627;8,74095368902886;0,202351504562800;0,268237465582342
Total_arima, ConsumoEuros_arima, NumeroSociedades_arima, Carbón y derivados_arima, Gas_arima, Capital_arima;3;-0,998529053580490;0,998712800343685;9,08256329338546;0,325956990136865;0,268294511549788
